id,neighborhood,price,latitude,longitude
35160821,Cole,$250.00 ,39.76526,-104.96218
35164696,Capitol Hill,$90.00 ,39.73758,-104.97531
35182176,Jefferson Park,$95.00 ,39.75335,-105.0247
35187856,Baker,$73.00 ,39.72458,-104.99659
35191778,Five Points,$150.00 ,39.75569,-104.98453
35196966,Union Station,$125.00 ,39.75364,-105.00554
35197412,Sunnyside,$65.00 ,39.77038,-105.01389
35220979,Sunnyside,$109.00 ,39.77123,-104.99978
35223208,Whittier,$49.00 ,39.75382,-104.97175
35226322,Five Points,$74.00 ,39.76335,-104.98799
35233516,Lincoln Park,$103.00 ,39.72832,-105.00099
35255779,Windsor,$90.00 ,39.70393,-104.88507
35260124,Berkeley,$102.00 ,39.77228,-105.05218
35261333,Cole,$142.00 ,39.769,-104.96432
35263642,Congress Park,$79.00 ,39.73757,-104.95451
35277076,Congress Park,$250.00 ,39.73573,-104.95711
35282608,Montbello,$67.00 ,39.79056,-104.8414
35284634,Speer,$110.00 ,39.71623,-104.98202
35288308,Union Station,$120.00 ,39.75791,-105.00194
35289842,Lincoln Park,$54.00 ,39.72923,-104.99863
35313492,Hampden,$33.00 ,39.66622,-104.91635
35325552,East Colfax,$49.00 ,39.74101,-104.90242
35341518,University Hills,$190.00 ,39.67549,-104.93333
35341541,Highland,$250.00 ,39.76331,-105.00363
35342428,Union Station,$200.00 ,39.7525,-105.00585
35342895,Gateway - Green Valley Ranch,$55.00 ,39.79568,-104.77574
35346837,Cheesman Park,$129.00 ,39.73783,-104.9641
35351021,Platt Park,$55.00 ,39.69416,-104.98436
35351688,Gateway - Green Valley Ranch,$75.00 ,39.77081,-104.7553
35352023,Sunnyside,$125.00 ,39.77436,-105.00134
35375524,Highland,$199.00 ,39.76212,-105.01617
35380596,Lowry Field,$129.00 ,39.72014,-104.89523
35382462,Baker,$207.00 ,39.71151,-104.98781
35382615,Stapleton,$135.00 ,39.75586,-104.89547
35385881,Ruby Hill,$113.00 ,39.6859,-105.01722
35413846,Valverde,$100.00 ,39.71917,-105.02472
35415091,Union Station,$170.00 ,39.75466,-105.00248
35416352,Baker,$159.00 ,39.71305,-104.9941
35416421,North Park Hill,$159.00 ,39.75996,-104.90743
35422615,West Highland,$125.00 ,39.7616,-105.03645
35433170,Highland,$199.00 ,39.75993,-105.0074
35454189,Stapleton,$999.00 ,39.795,-104.89462
35455560,Lincoln Park,$200.00 ,39.73113,-104.99565
35464927,Washington Park West,$90.00 ,39.69398,-104.97476
35469650,Sunnyside,$85.00 ,39.77049,-105.01387
35470956,Union Station,$180.00 ,39.7553,-105.00269
35482316,West Colfax,$65.00 ,39.73573,-105.04982
35484702,West Colfax,$265.00 ,39.73708,-105.05057
35488510,Capitol Hill,$120.00 ,39.73358,-104.97641
35489830,Civic Center,$40.00 ,39.73787,-104.99579
35494910,Windsor,$30.00 ,39.69694,-104.88288
35518196,Gateway - Green Valley Ranch,$35.00 ,39.79758,-104.74397
35518521,Sloan Lake,$475.00 ,39.75716,-105.02963
35520755,Athmar Park,$80.00 ,39.70425,-105.01857
35534264,Sloan Lake,$90.00 ,39.75667,-105.04232
35535425,Five Points,$107.00 ,39.75042,-104.97805
35538823,Five Points,$153.00 ,39.74898,-104.98095
35549118,Washington Virginia Vale,$85.00 ,39.70139,-104.9059
35570877,Congress Park,$137.00 ,39.72649,-104.95749
35575152,Virginia Village,$100.00 ,39.69409,-104.93682
35578815,Valverde,$115.00 ,39.72075,-105.02448
35579238,Union Station,$175.00 ,39.75522,-105.00079
35606018,Sloan Lake,$150.00 ,39.75399,-105.03939
35607222,Platt Park,$139.00 ,39.68042,-104.98552
35607450,Whittier,$100.00 ,39.76089,-104.96243
35638394,Cole,$169.00 ,39.76751,-104.96954
35640219,Sunnyside,$105.00 ,39.77695,-105.01304
35648035,Union Station,$203.00 ,39.75506,-105.00036
35657992,Capitol Hill,$120.00 ,39.73129,-104.98584
35683144,West Highland,$125.00 ,39.7604,-105.04143
35683218,CBD,$129.00 ,39.74543,-104.9937
35687245,CBD,$129.00 ,39.74516,-104.9942
35710580,Sun Valley,$95.00 ,39.72619,-105.02138
35713420,Gateway - Green Valley Ranch,$65.00 ,39.77468,-104.76159
35715524,Belcaro,$106.00 ,39.70735,-104.9554
35715680,Sloan Lake,$49.00 ,39.74703,-105.02841
35718740,Platt Park,$249.00 ,39.69286,-104.98661
35733717,Berkeley,$101.00 ,39.77296,-105.05139
